,token,transcript_id,sentence_id,surprisal,oov
0,↓the,13,0,4.536386560342236,False
1,↓renaissance,13,0,14.034059247231125,False
2,↓in,13,0,5.898112041228383,False
3,↓childrens,13,0,21.250373478092005,False
4,↓literature,13,0,15.13620365504786,False
5,↓is,13,0,4.776757841995137,False
6,↓turn,13,0,10.724640148432423,False
7,ing,13,0,0.6962228712850995,False
8,↓out,13,0,2.95280202696156,False
9,↓to,13,0,1.1871878996102962,False
10,↓be,13,0,0.7122139365964893,False
11,↓one,13,0,7.205929403919351,False
12,↓of,13,0,1.331860985333144,False
13,↓the,13,0,0.7135660451035242,False
14,↓most,13,0,2.0930231804071515,False
15,↓strike,13,0,6.366626375769408,False
16,ing,13,0,0.041149787654754,False
17,↓culture,13,0,12.6012105323474,False
18,al,13,0,0.8535094983342735,False
19,↓character,13,0,10.423157027302567,False
20,istic,13,0,1.0894140451074086,False
21,s,13,0,0.0015370535246449313,False
22,↓of,13,0,2.2271056157518143,False
23,↓our,13,0,8.25541469232727,False
24,↓time,13,0,4.324518112122202,False
25,s,13,0,3.5604931991577007,False
26,↓whether,13,1,11.175325163899759,False
27,↓we,13,1,4.998170399203799,False
28,↓are,13,1,4.434896102840073,False
29,↓re,13,1,7.832880858129741,False
30,assess,13,1,10.070115679796897,False
31,ing,13,1,2.1164632919046165,False
32,↓the,13,1,6.101287790539268,False
33,↓achieve,13,1,14.30689697324039,False
34,ment,13,1,0.16552721235594262,False
35,s,13,1,2.1319209389010942,False
36,↓of,13,1,2.065560651290003,False
37,↓the,13,1,1.5125561425059046,False
38,↓past,13,1,5.210919957854922,False
39,↓as,13,1,6.220692708123069,False
40,↓with,13,1,10.415655114490626,False
41,↓the,13,1,3.9052437925126746,False
42,↓film,13,1,10.67274769409983,False
43,↓of,13,1,6.270600386958756,False
44,↓the,13,1,0.7814536237955622,False
45,↓lord,13,1,11.174803229720803,False
46,↓of,13,1,3.545155145577038,False
47,↓the,13,1,0.11835575266318624,False
48,↓ring,13,1,0.30443343030730674,False
49,s,13,1,0.06344292726120866,False
50,↓or,13,1,8.422525502680752,False
51,↓fall,13,1,10.596375021956394,False
52,ing,13,1,2.0013821515081656,False
53,↓in,13,1,3.4398618550547595,False
54,↓love,13,1,1.5926372005513347,False
55,↓with,13,1,1.3865129983349749,False
56,↓current,13,1,12.925242952428773,False
57,↓childheroe,13,1,21.981569206405815,True
58,s,13,1,6.249498089137668,False
59,↓like,13,1,7.7349536508113745,False
60,↓harry,13,1,13.286689103435322,False
61,↓pot,13,1,5.380246810443182,False
62,er,13,1,0.06775568438059762,False
63,↓there,13,1,11.945317471509695,False
64,↓have,13,1,6.691602475022595,False
65,s,13,1,1.5007102562675187,False
66,↓never,13,1,6.303938833638381,False
67,↓be,13,1,0.30659791768174793,False
68,en,13,1,0.01643461531238868,False
69,↓an,13,1,5.52563636764803,False
70,other,13,1,4.832513322060443,False
71,↓time,13,1,7.760522089505196,False
72,↓when,13,1,8.55845807192836,False
73,↓childrens,13,1,20.601659190240728,False
74,↓literature,13,1,15.13620365504786,False
75,↓could,13,1,9.569286174690374,False
76,↓command,13,1,13.764579640977207,False
77,↓such,13,1,13.703528390217535,False
78,↓attention,13,1,11.22475288505343,False
79,↓about,13,2,10.101312929127802,False
80,↓six,13,2,7.34938289420393,False
81,↓month,13,2,0.878397996978575,False
82,s,13,2,0.01970934204922938,False
83,↓ago,13,2,1.6639742770805035,False
84,↓i,13,2,8.664287156793678,False
85,↓wrote,13,2,9.806154002867386,False
86,↓on,13,2,5.637140991703632,False
87,↓these,13,2,9.785914995266422,False
88,↓page,13,2,6.501432311679285,False
89,s,13,2,0.09324919774990985,False
90,↓that,13,2,7.203926412206788,False
91,↓philip,13,2,20.531634473248022,False
92,↓pullman,13,2,8.16613147534141,False
93,s,13,2,7.478881179278797,False
94,↓novel,13,2,13.205123225811747,False
95,↓the,13,2,7.377490514958042,False
96,↓amber,13,2,16.819713041396174,False
97,↓spyglass,13,2,21.628708437037936,True
98,↓would,13,2,9.289000392506756,False
99,↓be,13,2,3.364241195814085,False
100,↓a,13,2,4.414132785032025,False
101,↓worth,13,2,11.585985985537764,False
102,y,13,2,0.7380705182015113,False
103,↓win,13,2,12.962809541163566,False
104,er,13,2,2.182056716437143,False
105,↓of,13,2,4.274553408611426,False
106,↓the,13,2,1.3327949623900994,False
107,↓book,13,2,9.548564833379269,False
108,er,13,2,9.606082930311441,False
109,↓prize,13,2,2.4087450461034217,False
110,↓in,13,3,6.212967844671712,False
111,↓the,13,3,2.4891807263470724,False
112,↓event,13,3,7.1949157215330715,False
113,↓it,13,3,11.74658331078088,False
114,↓didnt,13,3,23.94194606246981,False
115,↓make,13,3,10.823388669473973,False
116,↓the,13,3,5.618399673833177,False
117,↓short,13,3,11.76956979890809,False
118,le,13,3,7.359357460288556,False
119,ist,13,3,0.5822883129625441,False
120,↓but,13,3,8.561248320960926,False
121,↓it,13,3,4.924627576561744,False
122,↓live,13,3,12.695177692784464,False
123,ed,13,3,2.961534920346553,False
124,↓to,13,3,5.739746994412258,False
125,↓fight,13,3,9.843484572808054,False
126,↓an,13,3,6.183168095885218,False
127,other,13,3,1.228260614852623,False
128,↓day,13,3,2.3352566741059846,False
129,↓on,13,4,8.410952661674832,False
130,↓tuesday,13,4,7.078323229244371,False
131,↓night,13,4,3.5717963609710037,False
132,↓pullman,13,4,22.663831427416742,False
133,↓walk,13,4,12.273864345035754,False
134,ed,13,4,3.0705150145153244,False
135,↓away,13,4,4.712113640700058,False
