,token,transcript_id,sentence_id,surprisal,oov
0,↓if,1,0,7.216379175629734,False
1,↓you,1,0,1.6383974232870597,False
2,↓were,1,0,5.184589606141139,False
3,↓to,1,0,2.504140991455259,False
4,↓journey,1,0,16.749030956621173,False
5,↓to,1,0,3.5922064425972398,False
6,↓the,1,0,1.9030692356235603,False
7,↓north,1,0,9.041967915994816,False
8,↓of,1,0,3.7609214679423384,False
9,↓en,1,0,3.9878535384941607,False
10,gland,1,0,0.8980451755731279,False
11,↓you,1,0,11.895641059411878,False
12,↓would,1,0,7.089938046747233,False
13,↓come,1,0,6.751786475515263,False
14,↓to,1,0,3.615339452459059,False
15,↓a,1,0,4.855047968838497,False
16,↓valley,1,0,15.253411538621913,False
17,↓that,1,0,9.126076143716187,False
18,↓is,1,0,6.231565808845064,False
19,↓surround,1,0,13.493839155796282,False
20,ed,1,0,0.2315372090700898,False
21,↓by,1,0,0.41594931574622723,False
22,↓moor,1,0,19.361530908891872,False
23,s,1,0,2.661080817398803,False
24,↓as,1,0,7.817164224067226,False
25,↓high,1,0,8.070608016479996,False
26,↓as,1,0,0.550307023849727,False
27,↓mountain,1,0,14.909202679680302,False
28,s,1,0,0.8571617505717275,False
29,↓it,1,1,5.563527680227089,False
30,↓is,1,1,3.127739671973594,False
31,↓in,1,1,6.2050540869841155,False
32,↓this,1,1,4.0042073440998776,False
33,↓valley,1,1,13.781427264429023,False
34,↓where,1,1,8.633267317563055,False
35,↓you,1,1,4.850349373213831,False
36,↓would,1,1,5.842001740962512,False
37,↓find,1,1,6.039342757198486,False
38,↓the,1,1,5.4574087199300605,False
39,↓city,1,1,9.683300676459346,False
40,↓of,1,1,2.4963260369373517,False
41,↓bradford,1,1,20.602034602685073,False
42,↓where,1,1,11.165067850467807,False
43,↓once,1,1,10.367359966745006,False
44,↓a,1,1,5.201676416424585,False
45,↓thousand,1,1,11.995914198502728,False
46,↓spin,1,1,15.94188152912397,False
47,ing,1,1,2.2113119587774577,False
48,↓jennies,1,1,24.26690275749328,True
49,↓that,1,1,8.070417934229694,False
50,↓hum,1,1,15.132197671622732,False
51,ed,1,1,2.878007037495637,False
52,↓and,1,1,6.5907678012839765,False
53,↓clatter,1,1,17.96691169459087,False
54,ed,1,1,1.7612649068627004,False
55,↓spun,1,1,18.121979210368934,False
56,↓wool,1,1,7.968768282842902,False
57,↓in,1,1,8.401382020372099,False
58,to,1,1,5.2932778448547575,False
59,↓money,1,1,12.179603349120098,False
60,↓for,1,1,5.158690899537417,False
61,↓the,1,1,3.097069306880246,False
62,↓long,1,1,8.281663467075298,False
63,beard,1,1,24.172984701637542,False
64,ed,1,1,8.519570411553964,False
65,↓mill,1,1,14.794904638554629,False
66,↓own,1,1,14.35286836547606,False
67,er,1,1,3.896323390907851,False
68,s,1,1,1.789247390135364,False
69,↓that,1,2,7.238352683764708,False
70,↓all,1,2,8.124856698706965,False
71,↓mill,1,2,16.65023887506393,False
72,↓own,1,2,13.700219375043519,False
73,er,1,2,3.896323390907851,False
74,s,1,2,1.789247390135364,False
75,↓were,1,2,5.526598263035498,False
76,↓general,1,2,9.767703531668685,False
77,ly,1,2,0.024832411386558256,False
78,↓busy,1,2,12.458080973897713,False
79,↓as,1,2,10.36385849329256,False
80,↓beaver,1,2,18.221745463458976,False
81,s,1,2,2.2609263961415826,False
82,↓and,1,2,5.2646839303436215,False
83,↓quite,1,2,13.167646926145848,False
84,↓please,1,2,9.429597896980539,False
85,ed,1,2,0.5353210184368119,False
86,↓with,1,2,1.8688009699362045,False
87,↓them,1,2,7.724883251592222,False
88,selves,1,2,6.779913104494406,False
89,↓for,1,2,6.050145369085992,False
90,↓be,1,2,9.502146747855386,False
91,ing,1,2,0.32429573844868637,False
92,↓so,1,2,4.282536071114756,False
93,↓success,1,2,8.765565355783004,False
94,ful,1,2,0.14016639149502028,False
95,↓and,1,2,5.932111419732498,False
96,↓well,1,2,11.112921161125433,False
97,↓off,1,2,8.140096543124972,False
98,↓was,1,2,9.69353185358188,False
99,↓known,1,2,10.182680012397935,False
100,↓to,1,2,2.151297646293654,False
101,↓the,1,2,4.853496026465715,False
102,↓resident,1,2,13.172909828451099,False
103,s,1,2,0.7453075533776785,False
104,↓of,1,2,1.127118938479531,False
105,↓bradford,1,2,22.867336652628154,False
106,↓and,1,2,7.538936874252509,False
107,↓if,1,2,9.34550392542794,False
108,↓you,1,2,2.668289884743871,False
109,↓were,1,2,5.233572218025352,False
110,↓to,1,2,3.992399672313897,False
111,↓go,1,2,5.617383525803435,False
112,↓in,1,2,5.382519085343674,False
113,to,1,2,1.4757132523386696,False
114,↓the,1,2,1.2659780813735937,False
115,↓city,1,2,7.210244271001219,False
116,↓to,1,2,5.589601816907654,False
117,↓visit,1,2,8.229246702535619,False
118,↓the,1,2,3.4146149721677004,False
119,↓state,1,2,4.740382039357551,False
120,ly,1,2,10.362735423997021,False
121,↓city,1,2,13.32527104819048,False
122,↓hall,1,2,5.787722566374556,False
123,↓you,1,2,11.952595245668155,False
124,↓would,1,2,7.089938046747233,False
125,↓see,1,2,6.152708207283611,False
126,↓there,1,2,9.82672961445326,False
127,↓the,1,2,8.021783806471035,False
128,↓crest,1,2,14.796989207232947,False
129,↓of,1,2,0.9861298843703595,False
130,↓the,1,2,1.6525688470564908,False
131,↓city,1,2,8.480368323457192,False
132,↓of,1,2,3.5983484753101407,False
133,↓bradford,1,2,20.455264177132715,False
134,↓which,1,2,11.21367584191705,False
135,↓those,1,2,11.450394772331324,False
136,↓same,1,2,8.54997961155549,False
